task,model,parameters,full_resolution,method,budget_1_percent,budget_3_percent,budget_5_percent,budget_10_percent,budget_20_percent
Goal,OpenVLA,7.5B,80.2 / 105,Uniform,35.0 / 124,51.0 / 122,56.0 / 113,60.0 / 106,59.0 / 105
Goal,UniVLA,7.6B,93.0 / 122,Uniform,78.0 / 122,87.0 / 117,91.0 / 117,92.0 / 121,92.0 / 118
Goal,InstructVLA,1.5B,95.0 / 126,Uniform,70.0 / 174,95.0 / 134,89.0 / 133,90.0 / 129,91.0 / 126
Goal,InstructVLA,1.5B,95.0 / 126,Foveated,68.0 (-2.0) / 179,81.0 (-14.0) / 156,87.0 (-2.0) / 142,90.0 (0.0) / 137,94.0 (+3.0) / 130
Goal,InstructVLA,1.5B,95.0 / 126,Sunflower,74.0 (+4.0) / 173,86.0 (-9.0) / 153,87.0 (-2.0) / 144,93.0 (+3.0) / 132,94.0 (+3.0) / 127
Goal,InstructVLA,1.5B,95.0 / 126,SALISA,73.0 (+3.0) / 171,90.0 (-5.0) / 142,91.0 (+2.0) / 136,90.0 (0.0) / 137,91.0 (0.0) / 134
Goal,InstructVLA,1.5B,95.0 / 126,CORTAct focus,79.0 (+9.0) / 156,96.0 (+1.0) / 148,91.0 (+2.0) / 142,92.0 (+2.0) / 126,94.0 (+3.0) / 131
Goal,InstructVLA,1.5B,95.0 / 126,CORTAct context,80.0 (+10.0) / 175,96.0 (+1.0) / 144,91.0 (+2.0) / 138,91.0 (+1.0) / 129,92.0 (+1.0) / 135
Goal,InstructVLA,1.5B,95.0 / 126,CORTAct,85.0 (+15.0) / 161,96.0 (+1.0) / 144,97.0 (+8.0) / 139,97.0 (+7.0) / 126,99.0 (+8.0) / 134
Goal,SmolVLA,0.5B,91.2 / 122,Uniform,17.8 / 104,45.0 / 108,48.6 / 124,58.0 / 81,60.4 / 119
Goal,SmolVLA,0.5B,91.2 / 122,Foveated,11.8 (-6.0) / 133,20.2 (-24.8) / 106,38.0 (-10.6) / 105,58.0 (0.0) / 132,64.0 (+3.6) / 96
Goal,SmolVLA,0.5B,91.2 / 122,Sunflower,24.8 (+7.0) / 86,27.2 (-17.8) / 91,17.8 (-30.8) / 141,27.2 (-30.8) / 89,51.0 (-9.4) / 89
Goal,SmolVLA,0.5B,91.2 / 122,SALISA,16.6 (-1.2) / 116,20.2 (-24.8) / 122,30.8 (-17.8) / 104,43.8 (-14.2) / 120,52.2 (-8.2) / 122
Goal,SmolVLA,0.5B,91.2 / 122,CORTAct focus,22.8 (+5.0) / 106,48.6 (+3.6) / 112,62.6 (+14.0) / 133,68.0 (+10.0) / 90,76.4 (+16.0) / 106
Goal,SmolVLA,0.5B,91.2 / 122,CORTAct context,20.8 (+3.0) / 98,48.6 (+3.6) / 101,55.6 (+7.0) / 112,69.0 (+11.0) / 69,67.4 (+7.0) / 129
Goal,SmolVLA,0.5B,91.2 / 122,CORTAct,28.4 (+10.6) / 100,48.6 (+3.6) / 101,68.6 (+20.0) / 118,81.8 (+23.8) / 83,81.8 (+21.4) / 122
Goal,TurboVLA,0.2B,97.2 / 112,Uniform,34.8 / 144,52.0 / 110,63.4 / 101,70.2 / 109,74.2 / 112
Goal,TurboVLA,0.2B,97.2 / 112,Foveated,24.0 (-10.8) / 142,40.0 (-12.0) / 125,43.0 (-20.4) / 115,56.4 (-13.8) / 105,61.2 (-13.0) / 109
Goal,TurboVLA,0.2B,97.2 / 112,Sunflower,21.4 (-13.4) / 101,35.2 (-16.8) / 110,44.2 (-19.2) / 110,58.4 (-11.8) / 106,68.4 (-5.8) / 112
Goal,TurboVLA,0.2B,97.2 / 112,SALISA,40.2 (+5.4) / 132,56.0 (+4.0) / 119,61.4 (-2.0) / 106,68.2 (-2.0) / 107,66.6 (-7.6) / 109
Goal,TurboVLA,0.2B,97.2 / 112,CORTAct focus,36.0 (+1.2) / 124,67.4 (+15.4) / 110,81.6 (+18.2) / 104,94.8 (+24.6) / 93,91.2 (+17.0) / 133
Goal,TurboVLA,0.2B,97.2 / 112,CORTAct context,36.0 (+1.2) / 182,64.0 (+12.0) / 146,77.4 (+14.0) / 141,88.2 (+18.0) / 137,93.2 (+19.0) / 97
Goal,TurboVLA,0.2B,97.2 / 112,CORTAct,36.0 (+1.2) / 124,67.4 (+15.4) / 110,81.6 (+18.2) / 104,94.8 (+24.6) / 93,98.2 (+24.0) / 108
Object,OpenVLA,7.5B,87.4 / 171,Uniform,16 / 168,36.0 / 142,36.0 / 159,67.0 / 163,79.0 / 170
Object,UniVLA,7.6B,99.0 / 145,Uniform,87.0 / 146,96.0 / 148,96.0 / 146,98.0 / 146,99.0 / 147
Object,InstructVLA,1.5B,97.0 / 147,Uniform,19.0 / 265,39.0 / 240,55.0 / 208,82.0 / 170,89.0 / 156
Object,InstructVLA,1.5B,97.0 / 147,Foveated,18.0 (-1.0) / 267,27.0 (-12.0) / 254,33.0 (-22.0) / 244,46.0 (-36.0) / 225,58.0 (-31.0) / 206
Object,InstructVLA,1.5B,97.0 / 147,Sunflower,22.0 (+3.0) / 259,39.0 (0.0) / 232,58.0 (+3.0) / 213,88.0 (+6.0) / 163,90.0 (+1.0) / 163
Object,InstructVLA,1.5B,97.0 / 147,SALISA,26.0 (+7.0) / 256,45.0 (+6.0) / 226,68.0 (+13.0) / 192,89.0 (+7.0) / 167,88.0 (-1.0) / 161
Object,InstructVLA,1.5B,97.0 / 147,CORTAct focus,23.0 (+4.0) / 274,50.0 (+11.0) / 208,68.0 (+13.0) / 188,90.0 (+8.0) / 154,93.0 (+4.0) / 147
Object,InstructVLA,1.5B,97.0 / 147,CORTAct context,25.0 (+6.0) / 264,46.0 (+7.0) / 230,63.0 (+8.0) / 167,85.0 (+3.0) / 165,91.0 (+2.0) / 153
Object,InstructVLA,1.5B,97.0 / 147,CORTAct,27.0 (+8.0) / 267,50.0 (+11.0) / 208,75.0 (+20.0) / 173,95.0 (+13.0) / 161,99.0 (+10.0) / 149
Object,SmolVLA,0.5B,93.4 / 141,Uniform,13.4 / 174,34.2 / 159,48.8 / 178,69.6 / 158,80.0 / 139
Object,SmolVLA,0.5B,93.4 / 141,Foveated,6.2 (-7.2) / 191,12.4 (-21.8) / 280,17.6 (-31.2) / 169,37.4 (-32.2) / 154,53.0 (-27.0) / 160
Object,SmolVLA,0.5B,93.4 / 141,Sunflower,19.8 (+6.4) / 208,46.8 (+12.6) / 159,46.8 (-2.0) / 180,58.2 (-11.4) / 150,69.6 (-10.4) / 141
Object,SmolVLA,0.5B,93.4 / 141,SALISA,11.4 (-2.0) / 150,14.6 (-19.6) / 214,17.6 (-31.2) / 162,39.4 (-30.2) / 146,58.2 (-21.8) / 173
Object,SmolVLA,0.5B,93.4 / 141,CORTAct focus,23.4 (+10.0) / 165,45.2 (+11.0) / 147,63.8 (+15.0) / 164,86.6 (+17.0) / 144,90.0 (+10.0) / 129
Object,SmolVLA,0.5B,93.4 / 141,CORTAct context,19.4 (+6.0) / 181,44.2 (+10.0) / 168,58.8 (+10.0) / 189,76.6 (+7.0) / 168,88.0 (+8.0) / 147
Object,SmolVLA,0.5B,93.4 / 141,CORTAct,27.0 (+13.6) / 176,45.6 (+11.4) / 161,67.4 (+18.6) / 171,89.2 (+19.6) / 151,91.4 (+11.4) / 134
