task,model,parameters,full_resolution,method,budget_1_percent,budget_3_percent,budget_5_percent,budget_10_percent,budget_20_percent
Object,TurboVLA,0.2B,98.8 / 162,Uniform,18.2 / 236,32.0 / 224,51.6 / 190,81.4 / 167,87.0 / 159
Object,TurboVLA,0.2B,98.8 / 162,Foveated,15.4 (-2.8) / 241,16.8 (-15.2) / 241,20.2 (-31.4) / 238,50.4 (-31.0) / 212,95.2 (+8.2) / 174
Object,TurboVLA,0.2B,98.8 / 162,Sunflower,3.4 (-14.8) / 221,33.8 (+1.8) / 209,46.0 (-5.6) / 188,100.0 (+18.6) / 153,100.0 (+13.0) / 154
Object,TurboVLA,0.2B,98.8 / 162,SALISA,13.8 (-4.4) / 244,34.0 (+2.0) / 213,64.4 (+12.8) / 185,81.4 (0.0) / 168,98.8 (+11.8) / 159
Object,TurboVLA,0.2B,98.8 / 162,CORTAct focus,30.2 (+12.0) / 184,45.6 (+13.6) / 186,60.6 (+9.0) / 185,88.4 (+7.0) / 145,93.0 (+6.0) / 137
Object,TurboVLA,0.2B,98.8 / 162,CORTAct context,22.2 (+4.0) / 200,41.6 (+9.6) / 199,57.6 (+6.0) / 170,86.4 (+5.0) / 162,89.0 (+2.0) / 145
Object,TurboVLA,0.2B,98.8 / 162,CORTAct,41.8 (+23.6) / 189,51.6 (+19.6) / 189,70.2 (+18.6) / 174,88.4 (+7.0) / 145,98.8 (+11.8) / 139
Spatial,OpenVLA,7.5B,82.7 / 113,Uniform,66.0 / 116,63.0 / 112,62.0 / 110,58.0 / 111,63.0 / 113
Spatial,UniVLA,7.6B,97.0 / 114,Uniform,73.0 / 115,94.0 / 113,95.0 / 112,96.0 / 115,96.0 / 113
Spatial,InstructVLA,1.5B,95.0 / 117,Uniform,59.0 / 168,94.0 / 119,91.0 / 116,91.0 / 116,93.0 / 114
Spatial,InstructVLA,1.5B,95.0 / 117,Foveated,15.0 (-44.0) / 212,44.0 (-50.0) / 181,63.0 (-28.0) / 161,86.0 (-5.0) / 129,95.0 (+2.0) / 118
Spatial,InstructVLA,1.5B,95.0 / 117,Sunflower,52.0 (-7.0) / 172,70.0 (-24.0) / 147,89.0 (-2.0) / 125,95.0 (+4.0) / 118,93.0 (0.0) / 119
Spatial,InstructVLA,1.5B,95.0 / 117,SALISA,43.0 (-16.0) / 181,92.0 (-2.0) / 120,91.0 (0.0) / 122,97.0 (+6.0) / 114,98.0 (+5.0) / 112
Spatial,InstructVLA,1.5B,95.0 / 117,CORTAct focus,72.0 (+13.0) / 142,98.0 (+4.0) / 118,94.0 (+3.0) / 117,93.0 (+2.0) / 121,94.0 (+1.0) / 118
Spatial,InstructVLA,1.5B,95.0 / 117,CORTAct context,66.0 (+7.0) / 163,95.0 (+1.0) / 123,92.0 (+1.0) / 121,93.0 (+2.0) / 125,93.0 (0.0) / 117
Spatial,InstructVLA,1.5B,95.0 / 117,CORTAct,72.0 (+13.0) / 142,99.0 (+5.0) / 121,100.0 (+9.0) / 120,100.0 (+9.0) / 122,99.0 (+6.0) / 117
Spatial,SmolVLA,0.5B,89.2 / 103,Uniform,23.2 / 108,48.4 / 96,57.2 / 101,71.6 / 112,77.0 / 104
Spatial,SmolVLA,0.5B,89.2 / 103,Foveated,3.4 (-19.8) / 220,14.4 (-34.0) / 132,34.2 (-23.0) / 126,41.8 (-29.8) / 87,62.8 (-14.2) / 104
Spatial,SmolVLA,0.5B,89.2 / 103,Sunflower,27.6 (+4.4) / 92,41.8 (-6.6) / 89,40.8 (-16.4) / 123,60.6 (-11.0) / 96,67.2 (-9.8) / 117
Spatial,SmolVLA,0.5B,89.2 / 103,SALISA,21.0 (-2.2) / 79,26.4 (-22.0) / 79,45.2 (-12.0) / 120,62.8 (-8.8) / 110,65.0 (-12.0) / 108
Spatial,SmolVLA,0.5B,89.2 / 103,CORTAct focus,33.2 (+10.0) / 98,62.4 (+14.0) / 84,79.2 (+22.0) / 115,91.6 (+20.0) / 88,82.6 (+5.6) / 98
Spatial,SmolVLA,0.5B,89.2 / 103,CORTAct context,30.2 (+7.0) / 115,55.4 (+7.0) / 105,64.2 (+7.0) / 86,75.6 (+4.0) / 112,80.0 (+3.0) / 110
Spatial,SmolVLA,0.5B,89.2 / 103,CORTAct,36.4 (+13.2) / 109,69.4 (+21.0) / 98,82.6 (+25.4) / 94,93.6 (+22.0) / 105,82.6 (+5.6) / 98
Spatial,TurboVLA,0.2B,98.2 / 112,Uniform,51.0 / 150,50.2 / 127,62.4 / 112,88.8 / 116,89.0 / 114
Spatial,TurboVLA,0.2B,98.2 / 112,Foveated,46.0 (-5.0) / 178,41.2 (-9.0) / 148,48.2 (-14.2) / 136,48.6 (-40.2) / 116,69.4 (-19.6) / 116
Spatial,TurboVLA,0.2B,98.2 / 112,Sunflower,27.8 (-23.2) / 140,40.0 (-10.2) / 118,53.0 (-9.4) / 116,77.6 (-11.2) / 111,100.0 (+11.0) / 112
Spatial,TurboVLA,0.2B,98.2 / 112,SALISA,44.6 (-6.4) / 146,52.0 (+1.8) / 129,70.0 (+7.6) / 116,90.6 (+1.8) / 114,95.2 (+6.2) / 112
Spatial,TurboVLA,0.2B,98.2 / 112,CORTAct focus,59.0 (+8.0) / 173,55.0 (+4.8) / 102,73.4 (+11.0) / 89,92.4 (+3.6) / 138,98.8 (+9.8) / 97
Spatial,TurboVLA,0.2B,98.2 / 112,CORTAct context,59.0 (+8.0) / 111,55.0 (+4.8) / 138,73.4 (+11.0) / 149,92.4 (+3.6) / 88,98.8 (+9.8) / 126
Spatial,TurboVLA,0.2B,98.2 / 112,CORTAct,59.0 (+8.0) / 111,55.0 (+4.8) / 102,73.4 (+11.0) / 89,92.4 (+3.6) / 88,98.8 (+9.8) / 97
Long,OpenVLA,7.5B,54.7 / 310,Uniform,20.0 / 420,24.0 / 444,33.0 / 415,44.0 / 380,51.0 / 360
Long,UniVLA,7.6B,90.0 / 269,Uniform,64.0 / 246,78.0 / 250,85.0 / 252,87.0 / 256,88.0 / 260
Long,InstructVLA,1.5B,94.0 / 280,Uniform,20.0 / 477,62.0 / 369,76.0 / 322,79.0 / 301,84.0 / 286
Long,InstructVLA,1.5B,94.0 / 280,Foveated,4.0 (-16.0) / 496,19.0 (-43.0) / 486,35.0 (-41.0) / 445,51.0 (-28.0) / 401,72.0 (-12.0) / 338
Long,InstructVLA,1.5B,94.0 / 280,Sunflower,12.0 (-8.0) / 488,37.0 (-25.0) / 454,43.0 (-33.0) / 427,81.0 (+2.0) / 314,80.0 (-4.0) / 317
Long,InstructVLA,1.5B,94.0 / 280,SALISA,25.0 (+5.0) / 467,42.0 (-20.0) / 435,60.0 (-16.0) / 376,77.0 (-2.0) / 330,77.0 (-7.0) / 335
Long,InstructVLA,1.5B,94.0 / 280,CORTAct focus,30.0 (+10.0) / 448,78.0 (+16.0) / 360,89.0 (+13.0) / 330,86.0 (+7.0) / 322,91.0 (+7.0) / 310
Long,InstructVLA,1.5B,94.0 / 280,CORTAct context,24.0 (+4.0) / 462,68.0 (+6.0) / 382,80.0 (+4.0) / 313,86.0 (+7.0) / 336,87.0 (+3.0) / 320
Long,InstructVLA,1.5B,94.0 / 280,CORTAct,30.0 (+10.0) / 448,80.0 (+18.0) / 375,89.0 (+13.0) / 330,96.0 (+17.0) / 326,97.0 (+13.0) / 317
Long,SmolVLA,0.5B,71.4 / 240,Uniform,0.0 / 500,8.4 / 173,21.0 / 268,48.4 / 208,52.6 / 238
Long,SmolVLA,0.5B,71.4 / 240,Foveated,0.0 (0.0) / 500,0.0 (-8.4) / 500,2.2 (-18.8) / 498,6.4 (-42.0) / 494,23.2 (-29.4) / 477
Long,SmolVLA,0.5B,71.4 / 240,Sunflower,0.0 (0.0) / 500,0.0 (-8.4) / 500,8.4 (-12.6) / 380,14.8 (-33.6) / 342,21.0 (-31.6) / 223
Long,SmolVLA,0.5B,71.4 / 240,SALISA,2.2 (+2.2) / 498,6.4 (-2.0) / 253,14.8 (-6.2) / 273,31.6 (-16.8) / 355,35.8 (-16.8) / 305
Long,SmolVLA,0.5B,71.4 / 240,CORTAct focus,6.4 (+6.4) / 494,9.4 (+1.0) / 172,26.0 (+5.0) / 260,53.4 (+5.0) / 199,65.6 (+13.0) / 212
Long,SmolVLA,0.5B,71.4 / 240,CORTAct context,0.0 (0.0) / 500,8.4 (0.0) / 171,28.0 (+7.0) / 272,55.4 (+7.0) / 211,59.6 (+7.0) / 232
Long,SmolVLA,0.5B,71.4 / 240,CORTAct,6.4 (+6.4) / 494,12.0 (+3.6) / 171,37.8 (+16.8) / 264,58.8 (+10.4) / 207,86.2 (+33.6) / 218
Long,TurboVLA,0.2B,92.0 / 294,Uniform,1.0 / 382,21.6 / 342,29.6 / 311,46.8 / 270,61.4 / 284
Long,TurboVLA,0.2B,92.0 / 294,Foveated,5.4 (+4.4) / 412,10.2 (-11.4) / 404,7.0 (-22.6) / 391,20.8 (-26.0) / 351,37.2 (-24.2) / 319
Long,TurboVLA,0.2B,92.0 / 294,Sunflower,0.0 (-1.0) / 500,8.2 (-13.4) / 327,14.0 (-15.6) / 348,44.4 (-2.4) / 270,49.0 (-12.4) / 282
Long,TurboVLA,0.2B,92.0 / 294,SALISA,9.2 (+8.2) / 374,16.2 (-5.4) / 357,24.8 (-4.8) / 328,40.8 (-6.0) / 272,40.8 (-20.6) / 270
Long,TurboVLA,0.2B,92.0 / 294,CORTAct focus,13.0 (+12.0) / 364,24.6 (+3.0) / 324,46.6 (+17.0) / 293,62.8 (+16.0) / 255,88.4 (+27.0) / 242
Long,TurboVLA,0.2B,92.0 / 294,CORTAct context,3.4 (+2.4) / 367,28.6 (+7.0) / 313,41.6 (+12.0) / 258,59.8 (+13.0) / 284,71.4 (+10.0) / 279
Long,TurboVLA,0.2B,92.0 / 294,CORTAct,16.0 (+15.0) / 364,28.6 (+7.0) / 313,46.6 (+17.0) / 293,79.2 (+32.4) / 275,92.4 (+31.0) / 253
