task,model,parameters,full_resolution,method,budget_1_percent,budget_3_percent,budget_5_percent,budget_10_percent,budget_20_percent
Stack Cube,CronusVLA,0.5B,0.0,Sunflower,0.0 (0.0),0.0 (0.0),4.2 (+4.2),4.2 (+4.2),4.2 (+4.2)
Stack Cube,CronusVLA,0.5B,0.0,SALISA,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0)
Stack Cube,CronusVLA,0.5B,0.0,CORTAct focus,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0)
Stack Cube,CronusVLA,0.5B,0.0,CORTAct context,0.0 (0.0),0.0 (0.0),4.2 (+4.2),4.2 (+4.2),4.2 (+4.2)
Stack Cube,CronusVLA,0.5B,0.0,CORTAct,0.0 (0.0),0.0 (0.0),4.2 (+4.2),4.2 (+4.2),4.2 (+4.2)
Stack Cube,MiniVLA,1B,79.2,Uniform,0.0,8.3,12.5,41.7,75.0
Stack Cube,MiniVLA,1B,79.2,Foveated,0.0 (0.0),4.2 (-4.2),4.2 (-8.3),4.2 (-37.5),12.5 (-62.5)
Stack Cube,MiniVLA,1B,79.2,Sunflower,0.0 (0.0),0.0 (-8.3),0.0 (-12.5),33.3 (-8.3),83.3 (+8.3)
Stack Cube,MiniVLA,1B,79.2,SALISA,0.0 (0.0),12.5 (+4.2),25.0 (+12.5),25.0 (-16.7),29.2 (-45.8)
Stack Cube,MiniVLA,1B,79.2,CORTAct focus,0.0 (0.0),16.7 (+8.3),20.8 (+8.3),58.3 (+16.7),83.3 (+8.3)
Stack Cube,MiniVLA,1B,79.2,CORTAct context,0.0 (0.0),8.3 (0.0),12.5 (0.0),41.7 (0.0),75.0 (0.0)
Stack Cube,MiniVLA,1B,79.2,CORTAct,0.0 (0.0),16.7 (+8.3),20.8 (+8.3),58.3 (+16.7),87.5 (+12.5)
Eggplant in Basket,OpenVLA,7.5B,54.2,Uniform,0.0,4.2,8.3,29.2,45.8
Eggplant in Basket,SpatialVLA,3B,79.2,Uniform,62.5,79.2,79.2,79.2,79.2
Eggplant in Basket,UniVLA,7.6B,79.2,Uniform,45.8,62.5,75.0,79.2,79.2
